id,Temperature,Humidity,Wind_Speed,Precipitation(%),Cloud_Cover,Atmospheric_Pressure,UV_Index,Season,Visibility(km),Location,Weather_Type,Humidity_Normalized
1,14,73,9.5,82,partly cloudy,1010.82,2,Winter,3.5,inland,Rainy,0.5955056179775281
2,39,96,8.5,71,partly cloudy,1011.43,7,Spring,10.0,inland,Cloudy,0.8539325842696629
3,30,64,7.0,16,clear,1018.72,5,Spring,5.5,mountain,Sunny,0.4943820224719101
4,38,83,1.5,82,clear,1026.25,7,Spring,1.0,coastal,Sunny,0.7078651685393258
5,27,74,17.0,66,overcast,990.67,1,Winter,2.5,mountain,Rainy,0.6067415730337079
6,32,55,3.5,26,overcast,1010.03,2,Summer,5.0,inland,Cloudy,0.39325842696629215
7,-2,97,8.0,86,overcast,990.87,1,Winter,4.0,inland,Snowy,0.8651685393258427
8,3,85,6.0,96,partly cloudy,984.46,1,Winter,3.5,inland,Snowy,0.7303370786516854
9,3,83,6.0,66,overcast,999.44,0,Winter,1.0,mountain,Snowy,0.7078651685393258
10,28,74,8.5,107,clear,1012.13,8,Winter,7.5,coastal,Sunny,0.6067415730337079
11,35,45,6.0,86,partly cloudy,879.88,2,Spring,1.0,mountain,Cloudy,0.2808988764044944
12,38,43,2.0,16,clear,1029.16,11,Autumn,7.5,inland,Sunny,0.25842696629213485
13,12,59,10.5,25,partly cloudy,1016.08,3,Autumn,5.5,mountain,Cloudy,0.43820224719101125
14,-10,87,15.0,67,overcast,986.19,0,Winter,1.5,inland,Snowy,0.7528089887640449
15,24,21,3.5,8,clear,1018.88,8,Winter,5.5,coastal,Sunny,0.011235955056179775
16,10,50,6.5,46,partly cloudy,1000.44,2,Summer,8.5,mountain,Cloudy,0.33707865168539325
17,30,27,7.0,13,partly cloudy,1016.38,5,Spring,7.5,inland,Sunny,0.07865168539325842
18,33,51,0.5,27,overcast,1009.18,3,Autumn,5.5,coastal,Cloudy,0.34831460674157305
19,43,46,0.5,15,clear,1025.8,9,Spring,6.0,mountain,Sunny,0.29213483146067415
20,13,102,12.0,72,clear,1012.25,4,Summer,8.0,inland,Sunny,0.9213483146067416
21,-10,67,8.5,75,overcast,991.53,1,Winter,3.0,mountain,Snowy,0.5280898876404494
22,-7,88,12.5,98,overcast,980.31,1,Winter,3.0,inland,Snowy,0.7640449438202247
23,33,36,7.5,18,clear,1014.29,8,Summer,9.5,mountain,Sunny,0.1797752808988764
24,26,73,13.5,29,overcast,1012.02,1,Summer,9.0,inland,Cloudy,0.5955056179775281
25,38,83,7.0,101,partly cloudy,1017.94,4,Spring,8.5,mountain,Cloudy,0.7078651685393258
26,4,79,1.0,85,partly cloudy,982.53,1,Winter,4.5,inland,Snowy,0.6629213483146067
27,17,72,7.5,62,overcast,1010.16,2,Summer,3.0,mountain,Rainy,0.5842696629213483
28,40,57,4.0,12,partly cloudy,1020.73,11,Winter,9.5,coastal,Sunny,0.4157303370786517
29,24,61,6.5,3,partly cloudy,1018.15,7,Autumn,5.5,mountain,Sunny,0.4606741573033708
30,30,70,16.0,54,partly cloudy,1007.75,0,Winter,3.0,mountain,Rainy,0.5617977528089888
31,28,85,7.0,97,overcast,991.07,1,Spring,2.0,coastal,Rainy,0.7303370786516854
32,2,61,16.5,63,overcast,995.74,0,Winter,1.0,inland,Snowy,0.4606741573033708
33,4,95,2.5,56,overcast,984.63,1,Winter,4.5,inland,Snowy,0.8426966292134831
34,15,97,23.0,91,overcast,1009.36,13,Winter,2.5,mountain,Rainy,0.8651685393258427
35,29,69,3.0,15,clear,1012.09,10,Winter,5.5,inland,Sunny,0.550561797752809
36,35,21,10.0,6,clear,1026.81,5,Autumn,7.5,coastal,Sunny,0.011235955056179775
37,11,90,25.5,76,partly cloudy,996.17,0,Winter,1.0,mountain,Rainy,0.7865168539325843
38,2,105,19.0,109,overcast,991.68,7,Winter,3.5,mountain,Snowy,0.9550561797752809
39,-9,49,1.5,58,partly cloudy,1132.2,8,Spring,16.5,mountain,Snowy,0.3258426966292135
40,27,64,11.5,37,partly cloudy,1017.27,3,Autumn,8.0,coastal,Cloudy,0.4943820224719101
41,32,37,0.5,9,partly cloudy,1013.99,11,Winter,8.5,inland,Sunny,0.19101123595505617
42,36,22,1.0,0,clear,1028.63,10,Summer,5.5,mountain,Sunny,0.02247191011235955
43,28,54,15.0,39,partly cloudy,1018.86,3,Winter,8.5,mountain,Cloudy,0.38202247191011235
44,42,64,2.0,18,partly cloudy,1028.55,8,Autumn,8.0,mountain,Sunny,0.4943820224719101
45,21,43,10.0,11,clear,1019.41,11,Spring,6.0,mountain,Sunny,0.25842696629213485
46,22,50,0.0,18,clear,1016.5,5,Summer,8.0,coastal,Sunny,0.33707865168539325
